group_state,normalized_increment,cardinality,square_sum,fourth_sum,distances
base3_state_0,0,10,577,64177,0 2 2 3 6 6 10 10 12 12
base3_state_1,1,10,577,64165,1 1 4 4 6 7 8 9 12 13
base3_state_2,2,10,577,64153,1 1 4 5 5 7 7 11 11 13
unit_pair_state_0,0,7,5265,4701201,16 22 24 27 30 32 36
unit_pair_state_1,1,7,5265,4701189,17 20 25 26 31 33 35
digit_4_state_0,0,4,26593,181699537,72 78 85 90
digit_4_state_1,4,4,26593,181699489,73 76 88 88
digit_8_state_0,0,4,13798,65130514,8 58 71 73
digit_8_state_1,8,4,13798,65130418,45 46 51 84
digit_16_state_0,16,4,29943,229671987,77 83 90 95
digit_16_state_1,0,4,29943,229672179,78 81 93 93
digit_32_state_0,32,4,32767,274470979,81 87 94 99
digit_32_state_1,0,4,32767,274471363,82 85 97 97
digit_64_state_0,64,4,11470,45841954,22 43 64 71
digit_64_state_1,0,4,11470,45842722,25 48 54 75
digit_128_state_0,128,4,5131,9743923,15 28 39 51
digit_128_state_1,0,4,5131,9745459,23 23 37 52
digit_256_state_0,0,4,12322,74405314,9 24 64 87
digit_256_state_1,256,4,12322,74402242,29 40 40 91
digit_512_state_0,0,4,2458,2284738,14 14 29 35
digit_512_state_1,512,4,2458,2278594,18 18 21 37
digit_1024_state_0,1024,4,17605,127878289,28 31 86 92
digit_1024_state_1,0,4,17605,127890577,30 33 80 96
digit_2048_state_0,2048,4,12568,50975008,16 60 66 66
digit_2048_state_1,0,4,12568,50999584,16 62 62 68
digit_4096_state_0,4096,4,16135,67157587,55 61 67 70
digit_4096_state_1,0,4,16135,67206739,57 58 69 69
digit_8192_state_0,0,4,9391,29023843,26 41 53 65
digit_8192_state_1,8192,4,9391,28925539,27 38 57 63
digit_16384_state_0,0,4,13723,64751827,3 60 67 75
digit_16384_state_1,16384,4,13723,64555219,19 53 68 77
digit_32768_state_0,0,4,4627,8487043,13 20 43 47
digit_32768_state_1,32768,4,4627,8093827,15 21 44 45
digit_65536_state_0,65536,4,11980,42179632,38 50 56 70
digit_65536_state_1,0,4,11980,42966064,42 46 54 72
digit_131072_state_0,0,4,19504,141722368,32 52 76 100
digit_131072_state_1,131072,4,19504,140149504,36 44 84 96
