family,h,n,L,U,final_interval_count,max_interval_count
seed51,63,126,282204658,495014629,64625,157703
seed51,64,128,302687085,538478450,62925,139637
seed51,65,130,324060235,585193333,65789,138243
seed51,66,132,346215511,635465903,65137,139867
seed65,67,134,494227243,564426072,4101,7151
seed65,68,136,521468543,618911280,3977,8320
seed65,69,138,556630014,670447882,3559,6835
seed65,70,140,591977215,726993779,3183,6313
seed65,71,142,629116087,787173088,3377,5630
seed65,72,144,673195650,846073541,3031,4787
seed65,73,146,713679274,914475310,2917,4664
seed65,74,148,759454432,983741350,2947,5597
seed65,75,150,806518129,1058132066,2887,4788
seed65,76,152,858982633,1133799678,2721,4415
seed65,77,154,908019859,1219843933,2661,4895
seed65,78,156,964694640,1305478930,2803,5153
seed65,79,158,1023066687,1396931256,2981,4857
seed65,80,160,1080868477,1496762194,2923,5235
seed65,81,162,1143050415,1600322657,3185,6009
seed65,82,164,1206775787,1710758331,3081,5839
seed65,83,166,1274777128,1825653403,3047,5493
seed65,84,168,1345537564,1946849315,3341,6083
seed65,85,170,1418004618,2075731054,3307,6263
seed65,86,172,1492815330,2212002128,3533,5965
seed65,87,174,1573251569,2352729350,3649,6880
seed65,88,176,1654533295,2503049672,3713,6593
seed65,89,178,1737011993,2662976847,3609,7001
seed65,90,180,1824293120,2829279078,3791,7504
seed65,91,182,1914834873,3003880346,4169,7613
seed65,92,184,2009112810,3186695885,4339,8179
seed65,93,186,2106209106,3379043022,4339,8895
seed65,94,188,2205656814,3581797012,4583,9897
seed65,95,190,2310737931,3792093068,4831,9175
seed65,96,192,2417480246,4014329609,4909,9687
seed65,97,194,2527672781,4247152915,5189,10239
seed65,98,196,2644650548,4487672466,5437,9671
seed65,99,198,2762135337,4742620250,5473,10429
seed65,100,200,2885872583,5006713992,5405,11419
seed65,101,202,3010125596,5286163020,5875,10865
seed65,102,204,3142982840,5573361082,6023,11105
seed65,103,206,3277229572,5876014803,5947,12213
seed65,104,208,3411806104,6195685519,6023,11667
seed65,105,210,3554145982,6525451194,6445,11707
seed65,106,212,3702381391,6867701111,6641,12563
seed65,107,214,3853768533,7225710590,6583,12811
seed65,108,216,4009209337,7599119374,7069,12391
seed65,109,218,4171346821,7985836363,7483,13963
seed65,110,220,4334597103,8392007699,7581,13829
seed65,111,222,4504742925,8812423338,7761,12865
seed65,112,224,4683856789,9245594010,8063,14955
seed65,113,226,4862006605,9702045667,8237,14707
seed65,114,228,5044764052,10176811218,8511,14551
seed65,115,230,5234529540,10668105663,8683,15481
seed65,116,232,5429363253,11178495146,8783,15147
seed65,117,234,5631483781,11706398419,8839,15935
seed65,118,236,5834453536,12258901522,9409,17055
seed65,119,238,6045109995,12829826636,9817,17049
seed65,120,240,6265875423,13417422456,10191,17385
seed65,121,242,6486071892,14033049268,10177,18693
seed65,122,244,6716023681,14667076645,10663,19217
seed65,123,246,6950883989,15325056830,10865,18817
seed65,124,248,7186840344,16011519423,10657,19749
seed65,125,250,7435797206,16715288874,11439,20895
seed65,126,252,7687221572,17447638974,11633,19911
seed65,127,254,7944664466,18205771461,11609,20839
seed65,128,256,8209851146,18988725909,12071,22221
seed65,129,258,8477852832,19802208096,12219,20451
seed65,130,260,8759238522,20636438284,12607,21857
seed65,131,262,9043742726,21502483581,12819,23915
seed65,132,264,9335067722,22397455781,13471,22247
seed65,133,266,9635926209,23319468807,13521,23361
seed65,134,268,9939485498,24276194616,14033,26013
seed65,135,270,10250472321,25263758486,14675,24707
seed65,136,272,10568677040,26283234903,14991,25441
seed65,137,274,10895346864,27334254440,14567,27907
seed65,138,276,11230927781,28417261921,15567,26487
seed65,139,278,11576273109,29532307966,15547,26301
seed65,140,280,11927950870,30683741713,15865,29785
seed65,141,282,12276660741,31881793963,16563,27925
seed65,142,284,12643135709,33106675621,16743,27807
seed65,143,286,13018075064,34368644799,17083,31851
seed65,144,288,13399487242,35670664069,16697,30111
seed65,145,290,13786406697,37014683687,17175,28829
seed65,146,292,14186266097,38394269493,17369,32351
seed65,147,294,14593014253,39816485078,17837,30715
seed65,148,296,15007335297,41281672702,18851,30322
seed65,149,298,15431324730,42788777342,19305,33653
seed65,150,300,15864943084,44338893126,19327,32235
seed65,151,302,16312412931,45928866420,20041,32056
seed65,152,304,16759481034,47574033773,20715,34861
seed65,153,306,17216049012,49265591348,20907,34271
seed65,154,308,17685763300,51001005058,21239,34220
seed65,155,310,18163235846,52786789965,21557,37617
seed65,156,312,18654792167,54617762320,21805,37327
seed65,157,314,19151928335,56503582673,22397,36270
seed65,158,316,19659709417,58440357529,22815,39135
seed65,159,318,20169748882,60437660037,23219,39705
seed65,160,320,20693856721,62484881966,23695,38214
seed65,161,322,21234512498,64580760750,24229,40705
seed65,162,324,21783553590,66734691344,24259,42777
seed65,163,326,22352037335,68936864172,24505,38856
seed65,164,328,22912308259,71216197996,25267,42305
seed65,165,330,23491458569,73546879519,24987,43985
seed65,166,332,24084304182,75935387452,26073,41121
seed65,167,334,24687672309,78386205026,25917,43197
seed65,168,336,25296942198,80905279345,26619,46733
seed65,169,338,25915142578,83490924038,28065,42963
seed65,170,340,26550766297,86136004717,27591,46119
seed65,171,342,27201737691,88843971704,28475,49367
seed65,172,344,27859934773,91624337938,29459,46359
seed65,173,346,28534529828,94469338476,29059,48017
seed65,174,348,29214031785,97391888217,29613,51531
seed65,175,350,29909086825,100382781390,31987,53187
seed65,176,352,30614087977,103449082054,33775,57087
seed65,177,354,31329169337,106592129975,35551,63205
seed65,178,356,32061348017,109806398773,36397,63769
seed65,179,358,32806715666,113097304497,38831,64839
seed65,180,360,33566061112,116465583079,39693,75783
seed65,181,362,34343042971,119909117821,40309,75813
seed65,182,364,35112131238,123454997900,41285,75911
seed65,183,366,35917084575,127061041176,42213,86145
seed65,184,368,36724756070,130761988529,42343,80455
seed65,185,370,37537580882,134557016310,43397,79611
seed65,186,372,38373029778,138430282900,43913,91595
seed65,187,374,39228515588,142386022351,45607,86909
seed65,188,376,40092195273,146437742414,45621,84939
seed65,189,378,40971163268,150580031292,46093,97879
seed65,190,380,41867702699,154812306519,47779,89595
seed65,191,382,42766923406,159151177033,47345,88167
seed65,192,384,43704955796,163562249419,48613,101307
seed65,193,386,44622538254,168106540594,50579,93377
seed65,194,388,45571561259,172733933787,50661,93039
seed65,195,390,46549193966,177449052053,51281,103393
seed65,196,392,47517232391,182291910184,53295,97417
seed65,197,394,48530050586,187209963630,53009,97127
seed65,198,396,49572692456,192220016778,53045,105819
seed65,199,398,50552513475,197416581332,54137,103992
seed65,200,400,51607620879,202663436216,53687,99982
seed65,201,402,52665673433,208034827903,54809,109082
seed65,202,404,53755636410,213503715532,56031,109808
seed65,203,406,54863527332,219086025263,57955,103530
seed65,204,408,55942014552,224831051791,58021,114388
seed65,205,410,57061689809,230670185887,58959,116472
seed65,206,412,58222371640,236605611082,61137,106580
seed100_TM,206,412,106740323728,189108214894,1,1
seed100_TM,207,414,109209899281,193894199427,1,1
seed100_TM,208,416,111718758246,198782557594,1,1
seed100_TM,209,418,114267297951,203774956273,1,1
seed100_TM,210,420,116855917650,208873080372,1,1
seed100_TM,211,422,119485018523,214078632925,1,1
seed100_TM,212,424,122155003676,219393335188,1,1
seed100_TM,213,426,124866278141,224818926735,1,1
seed100_TM,214,428,127632043076,230344371354,3,3
seed100_TM,215,430,130440185166,235983967742,5,7
seed100_TM,216,432,133291118207,241739508017,7,13
seed100_TM,217,434,136185257935,247612802985,9,15
seed100_TM,218,436,139109863176,253618841086,9,21
seed100_TM,219,438,142091579021,259733245315,11,21
seed100_TM,220,440,145104323140,265984387004,11,25
seed100_TM,221,442,148175299188,272347372512,13,25
seed100_TM,222,444,151277870146,278851169980,13,31
seed100_TM,223,446,154425897190,285484270558,13,31
seed100_TM,224,448,157633907231,292234520961,15,33
seed100_TM,225,450,160874320771,299131895709,15,37
seed100_TM,226,452,164161476737,306164472389,15,39
seed100_TM,227,454,167510395115,313319669117,17,39
seed100_TM,228,456,170892532040,320628489544,17,43
seed100_TM,229,458,174322715109,328078587639,17,43
seed100_TM,230,460,177801382160,335672029006,17,43
seed100_TM,231,462,181344261773,343395610479,19,50
seed100_TM,232,464,184921422310,351281811178,19,50
seed100_TM,233,466,188548393711,359317670809,19,50
seed100_TM,234,468,192225621526,367505335728,19,53
seed100_TM,235,470,195953553231,375846972721,19,55
seed100_TM,236,472,199748860698,384328546630,21,55
seed100_TM,237,474,203579762836,392984497808,21,57
seed100_TM,238,476,207462724696,401801043110,21,57
seed100_TM,239,478,211398201466,410780431994,21,57
seed100_TM,240,480,215386650260,419924934828,21,61
seed100_TM,241,482,219445723493,429219649611,23,65
seed100_TM,242,484,223541716281,438701054669,23,65
seed100_TM,243,486,227692065875,448354509317,23,65
seed100_TM,244,488,231897237101,458182368515,23,65
seed100_TM,245,490,236157696711,468187008613,23,67
seed100_TM,246,492,240473913383,478370827447,23,67
seed100_TM,247,494,244864789421,488717812735,25,73
seed100_TM,248,496,249294165316,499267037612,25,73
seed100_TM,249,498,253780717791,510002762681,25,73
seed100_TM,250,500,258324923236,520927472674,25,73
seed100_TM,251,502,262927259967,532043674289,25,73
seed100_TM,252,504,267588208226,543353896286,25,73
seed100_TM,253,506,272308250181,554860689583,25,74
SUMMARY,,,,554860689583,,
