family,h,n,L,U,final_interval_count,max_interval_count
seed100_TM,253,506,272308250181,554860689583,25,74
seed100_TM,254,508,277087869926,566566627352,25,80
seed100_TM,255,510,281947767675,578454090921,27,82
seed100_TM,256,512,286848249002,590565880630,27,82
seed100_TM,257,514,291809773945,602884666823,27,82
seed100_TM,258,516,296832834310,615413112640,27,82
seed100_TM,259,518,301917923829,628153903955,27,85
seed100_TM,260,520,307065538160,641109749472,27,85
seed100_TM,261,522,312276174887,654283380821,27,87
seed100_TM,262,524,317572182490,667655703684,29,91
seed100_TM,263,526,322910623546,681272934690,29,91
seed100_TM,264,528,328313593346,695116282894,29,91
seed100_TM,265,530,333781597186,709188572582,29,91
seed100_TM,266,532,339315142288,723492651446,29,91
seed100_TM,267,534,344914737800,738031390680,29,91
seed100_TM,268,536,350580894796,752807685076,29,91
seed100_TM,269,538,356314126276,767824453120,29,91
seed100_TM,270,540,362138789235,783060795019,31,91
seed100_TM,271,542,368007990963,798567086497,31,95
seed100_TM,272,544,373945819831,814322748105,31,95
seed100_TM,273,546,379952796551,830330794057,31,95
seed100_TM,274,548,386029443761,846594262741,31,97
seed100_TM,275,550,392176286025,863116216815,31,101
seed100_TM,276,552,398393849833,879899743303,31,101
seed100_TM,277,554,404682663601,896947953691,31,101
seed100_TM,278,556,411043257671,914263984023,31,101
seed100_TM,279,558,417476164311,931850994997,31,101
seed100_TM,280,560,423981917715,949712172061,31,101
seed100_TM,281,562,430587884883,967823894629,33,107
seed100_TM,282,564,437241239126,986242762672,33,109
seed100_TM,283,566,443969056455,1004945500425,33,109
seed100_TM,284,568,450771878776,1023935393288,33,111
seed100_TM,285,570,457650249921,1043215751891,33,111
seed100_TM,286,572,464604715648,1062789912190,33,111
seed100_TM,287,574,471635823641,1082661235563,33,111
seed100_TM,288,576,478744123510,1102833108906,33,111
seed100_TM,289,578,485930166791,1123308944729,33,111
seed100_TM,290,580,493194506946,1144092181252,33,111
seed100_TM,291,582,500537699363,1165186282501,33,111
seed100_TM,292,584,507960301356,1186594738404,33,111
seed100_TM,293,586,515462872165,1208321064887,33,111
seed100_TM,294,588,523076675516,1230338101410,35,112
seed100_TM,295,590,530741194281,1252710496403,35,112
seed100_TM,296,592,538487373422,1275411464418,35,112
seed100_TM,297,594,546315779891,1298444626325,35,112
seed100_TM,298,596,554226982566,1321813629472,35,120
seed100_TM,299,598,562221552251,1345522147781,35,120
seed100_TM,300,600,570300061676,1369573881844,35,120
seed100_TM,301,602,578463085497,1393972559019,35,120
seed100_TM,302,604,586711200296,1418721933526,35,120
seed100_TM,303,606,595044984581,1443825786543,35,120
seed100_TM,304,608,603465018786,1469287926302,35,122
seed100_TM,305,610,611971885271,1495112188185,35,122
seed100_TM,306,612,620600746522,1521267856620,37,122
seed100_TM,307,614,629283384000,1547827626328,37,122
seed100_TM,308,616,638054614770,1574761185790,37,122
seed100_TM,309,618,646915028904,1602072479940,37,127
seed100_TM,310,620,655865218400,1629765481342,37,129
seed100_TM,311,622,664905777182,1657844190286,37,129
seed100_TM,312,624,674037301100,1686312634884,37,133
seed100_TM,313,626,683260387930,1715174871166,37,133
seed100_TM,314,628,692575637374,1744434983176,37,133
seed100_TM,315,630,701983651060,1774097083068,37,133
seed100_TM,316,632,711485032542,1804165311202,37,133
seed100_TM,317,634,721080387300,1834643836240,37,133
seed100_TM,318,636,730770322740,1865536855242,37,133
seed100_TM,319,638,740555448194,1896848593762,37,133
seed100_TM,320,640,750475903291,1928543777573,39,133
seed100_TM,321,642,760453628873,1960705361847,39,133
seed100_TM,322,644,770528386505,1993298511741,39,133
seed100_TM,323,646,780700793231,2026327567737,39,133
seed100_TM,324,648,790971468021,2059796899291,39,133
seed100_TM,325,650,801341031771,2093710904929,39,133
seed100_TM,326,652,811810107303,2128074012343,39,133
seed100_TM,327,654,822379319365,2162890678487,39,135
seed100_TM,328,656,833049294631,2198165389673,39,135
seed100_TM,329,658,843820661701,2233902661667,39,135
seed100_TM,330,660,854694051101,2270107039785,39,137
seed100_TM,331,662,865670095283,2306783098989,39,143
seed100_TM,332,664,876749428625,2343935443983,39,143
seed100_TM,333,666,887932687431,2381568709309,39,143
seed100_TM,334,668,899220509931,2419687559443,39,143
seed100_TM,335,670,910613536281,2458296688891,39,143
seed100_TM,336,672,922112408563,2497400822285,39,143
seed100_TM,337,674,933763964171,2536958521093,41,143
seed100_TM,338,676,945476888676,2577066530850,41,145
seed100_TM,339,678,957297599531,2617683897549,41,145
seed100_TM,340,680,969226746530,2658815467278,41,145
seed100_TM,341,682,981264981393,2700466116731,41,145
seed100_TM,342,684,993412957766,2742640753304,41,145
seed100_TM,343,686,1005671331221,2785344315191,41,145
seed100_TM,344,688,1018040759256,2828581771480,41,145
seed100_TM,345,690,1030521901295,2872358122249,41,145
seed100_TM,346,692,1043115418688,2916678398662,41,145
seed100_TM,347,694,1055821974711,2961547663065,41,147
seed100_TM,348,696,1068642234566,3006971009082,41,147
seed100_TM,349,698,1081576865381,3052953561711,41,147
seed100_TM,350,700,1094626536210,3099500477420,41,147
seed100_TM,351,702,1107791918033,3146616944243,41,149
seed100_TM,352,704,1121073683756,3194308181876,41,151
seed100_TM,353,706,1134472508211,3242579441773,41,157
seed100_TM,354,708,1147989068156,3291436007242,41,157
seed100_TM,355,710,1161624042275,3340883193541,41,157
seed100_TM,356,712,1175378111178,3390926347974,41,157
seed100_TM,357,714,1189306945851,3441515861537,43,157
seed100_TM,358,716,1203301732720,3492766643950,43,157
seed100_TM,359,718,1217417670531,3544629626873,43,157
seed100_TM,360,720,1231655447606,3597110286746,43,157
seed100_TM,361,722,1246015754193,3650214132535,43,157
seed100_TM,362,724,1260499282466,3703946705828,43,157
seed100_TM,363,726,1275106726525,3758313580931,43,157
seed100_TM,364,728,1289838782396,3813320364964,43,157
seed100_TM,365,730,1304696148031,3868972697957,43,157
SUMMARY,,,,3868972697957,,
