h,n,annuli,L,U,switch_width,margin_from_previous
365,730,4,1596122112921,3577546733067,215457655,
366,732,4,1617277641136,3627678135118,215457655,1960269091932
367,734,4,1638624047829,3678402298271,215457655,1989054087290
368,736,4,1660162425226,3729724573366,215457655,2018239873046
369,738,4,1681893868543,3781650343473,215457655,2047830704824
370,740,4,1703819475986,3834185023988,215457655,2077830867488
371,742,4,1725940348751,3887334062729,215457655,2108244675238
372,744,4,1748257591024,3941102940032,215457655,2139076471706
373,746,4,1770772309981,3995497168847,215457655,2170330630052
374,748,4,1793485615788,4050522294834,215457655,2202011553060
375,750,4,1816398621601,4106183896459,215457655,2234123673234
376,752,4,1839512443566,4162487585090,215457655,2266671452894
377,754,4,1862828200819,4219439005093,215457655,2299659384272
378,756,4,1886347015486,4277043833928,215457655,2333091989608
379,758,4,1910070012683,4335307782245,215457655,2366973821246
380,760,4,1933998320516,4394236593980,215457655,2401309461730
381,762,4,1958133070081,4453836046451,215457655,2436103523900
382,764,4,1982475395464,4514111950454,215457655,2471360650988
383,766,4,2007026433741,4575070150359,215457655,2507085516714
384,768,4,2031787324978,4636716524206,215457655,2543282825382
385,770,4,2056759212231,4699056983801,215457655,2579957311976
386,772,4,2081943241546,4762097474812,215457655,2617113742256
387,774,4,2107340561959,4825843976865,215457655,2654756912854
388,776,4,2132952325496,4890302503640,215457655,2692891651370
389,778,4,2158779687173,4955479102967,215457655,2731522816468
390,780,4,2184823804996,5021379856922,215457655,2770655297972
391,782,4,2211085839961,5088010881923,215457655,2810294016962
392,784,4,2237566956054,5155378328826,215457655,2850443925870
393,786,4,2264268320251,5223488383021,215457655,2891110008576
394,788,4,2291191102518,5292347264528,215457655,2932297280504
395,790,4,2318336475811,5361961228093,215457655,2974010788718
396,792,4,2345705616076,5432336563284,215457655,3016255612018
397,794,4,2373299702249,5503479594587,215457655,3059036861036
398,796,4,2401119916256,5575396681502,215457655,3102359678332
399,798,4,2429167443013,5648094218639,215457655,3146229238490
400,800,4,2457443470426,5721578635814,215457655,3190650748214
401,802,4,2485949189391,5795856398145,215457655,3235629446424
402,804,4,2514685793794,5870934006148,215457655,3281170604352
403,806,4,2543654480511,5946817995833,215457655,3327279525638
404,808,4,2572856449408,6023514938800,215457655,3373961546426
405,810,4,2602292903341,6101031442335,215457655,3421222035460
406,812,4,2631965048156,6179374149506,215457655,3469066394180
407,814,4,2661874092689,6258549739259,215457655,3517500056818
408,816,4,2692021248766,6338564926514,215457655,3566528490494
409,818,4,2722407731203,6419426462261,215457655,3616157195312
410,820,4,2753034757806,6501141133656,215457655,3666391704456
411,822,4,2783903549371,6583715764117,215457655,3717237584286
412,824,4,2815015329684,6667157213420,215457655,3768700434434
413,826,4,2846371325521,6751472377795,215457655,3820785887900
414,828,4,2877972766648,6836668190022,215457655,3873499611148
415,830,4,2909820885821,6922751619527,215457655,3926847304202
416,832,4,2941916918786,7009729672478,215457655,3980834700742
417,834,4,2974262104279,7097609391881,215457655,4035467568200
418,836,4,3006857684026,7186397857676,215457655,4090751707856
419,838,4,3039704902743,7276102186833,215457655,4146692954934
420,840,4,3072805008136,7366729533448,215457655,4203297178698
421,842,4,3106159250901,7458287088839,215457655,4260570282548
422,844,4,3139768884724,7550782081642,215457655,4318518204116
423,846,4,3173635166281,7644221777907,215457655,4377146915362
424,848,4,3207759355238,7738613481194,215457655,4436462422670
425,850,4,3242142714251,7833964532669,215457655,4496470766944
426,852,4,3276786508966,7930282311200,215457655,4557178023704
427,854,4,3311692008019,8027574233453,215457655,4618590303182
428,856,4,3346860483036,8125847753988,215457655,4680713750418
429,858,4,3382293208633,8225110365355,215457655,4743554545356
430,860,4,3417991462416,8325369598190,215457655,4807118902940
431,862,4,3453956524981,8426633021311,215457655,4871413073210
432,864,4,3490189679914,8528908241814,215457655,4936443341398
433,866,4,3526692213791,8632202905169,215457655,5002216028024
434,868,4,3563465416178,8736524695316,215457655,5068737488992
435,870,4,3600510579631,8841881334761,215457655,5136014115686
436,872,4,3637828999696,8948280584672,215457655,5204052335066
437,874,4,3675421974909,9055730244975,215457655,5272858609764
438,876,4,3713290806796,9164238154450,215457655,5342439438180
439,878,4,3751436799873,9273812190827,215457655,5412801354578
440,880,4,3789861261646,9384460270882,215457655,5483950929182
441,882,4,3828565502611,9496190350533,215457655,5555894768272
442,884,4,3867550836254,9609010424936,215457655,5628639514280
443,886,4,3906818579051,9722928528581,215457655,5702191845886
444,888,4,3946370050468,9837952735388,215457655,5776558478114
445,890,4,3986206572961,9954091158803,215457655,5851746162428
446,892,4,4026329471976,10071351951894,215457655,5927761686828
447,894,4,4066740075949,10189743307447,215457655,6004611875946
448,896,4,4107439716306,10309273458062,215457655,6082303591142
449,898,4,4148429727463,10429950676249,215457655,6160843730600
450,900,4,4189711446826,10551783274524,215457655,6240239229424
451,902,4,4231286214791,10674779605505,215457655,6320497059734
452,904,4,4273155374744,10798948062008,215457655,6401624230762
453,906,4,4315320273061,10924297077143,215457655,6483627788948
454,908,4,4357782259108,11050835124410,215457655,6566514818036
455,910,4,4400542685241,11178570717795,215457655,6650292439170
456,912,4,4443602906806,11307512411866,215457655,6734967810990
457,914,4,4486964282139,11437668801869,215457655,6820548129728
458,916,4,4530628172566,11569048523824,215457655,6907040629304
459,918,4,4574595942403,11701660254621,215457655,6994452581422
460,920,4,4618868958956,11835512712116,215457655,7082791295666
461,922,4,4663448592521,11970614655227,215457655,7172064119596
462,924,4,4708336216384,12106974884030,215457655,7262278438844
463,926,4,4753533206821,12244602239855,215457655,7353441677210
464,928,4,4799040943098,12383505605382,215457655,7445561296758
465,930,4,4844860807471,12523693904737,215457655,7538644797912
466,932,4,4890994185186,12665176103588,215457655,7632699719552
467,934,4,4937442464479,12807961209241,215457655,7727733639110
468,936,4,4984207036576,12952058270736,215457655,7823754172666
469,938,4,5031289295693,13097476378943,215457655,7920768975044
470,940,4,5078690639036,13244224666658,215457655,8018785739908
471,942,4,5126412466801,13392312308699,215457655,8117812199858
472,944,4,5174456182174,13541748522002,215457655,8217856126526
473,946,4,5222823191331,13692542565717,215457655,8318925330672
474,948,4,5271514903438,13844703741304,215457655,8421027662280
475,950,4,5320532730651,13998241392629,215457655,8524171010654
476,952,4,5369878088116,14153164906060,215457655,8628363304514
477,954,4,5419552393969,14309483710563,215457655,8733612512092
478,956,4,5469557069336,14467207277798,215457655,8839926641228
479,958,4,5519893538333,14626345122215,215457655,8947313739466
480,960,4,5570563228066,14786906801150,215457655,9055781894150
481,962,4,5621567568631,14948901914921,215457655,9165339232520
482,964,4,5672907993114,15112340106924,215457655,9275993921808
483,966,4,5724585937591,15277231063729,215457655,9387754169334
484,968,4,5776602841128,15443584515176,215457655,9500628222602
485,970,4,5828960145781,15611410234471,215457655,9614624369396
